-0.226478,0.974016,0,0,-0.974016,-0.226478,0,0,0,0,1,0,0,0,0,1|0.194766,-0.837624,0.510346,0,0.115579,-0.497086,-0.859969,0,0.974016,0.226478,-3.61999e-06,0,0,0,0,1|0.720951,0.637538,-0.271616,0,-0.683279,0.588602,-0.432062,0,-0.115582,0.497085,0.859969,0,0,0,0,1|-0.445558,0.747838,-0.492155,0,-0.887761,-0.44005,0.135043,0,-0.115582,0.497085,0.859969,0,-0.0288956,0.124271,0.214992,1|0.0304509,-0.348886,-0.93667,0,-0.459296,0.827427,-0.323127,0,0.887761,0.440048,-0.135046,0,-0.0288956,0.124271,0.214992,1|0.0304509,-0.348886,-0.93667,0,-0.459296,0.827427,-0.323127,0,0.887761,0.440048,-0.135046,0,0.193045,0.234283,0.181231,1||
-0.603251,-0.797551,0,0,0.797551,-0.603251,0,0,0,0,1,0,0,0,0,1|0.518776,0.685871,0.510346,0,0.307869,0.407025,-0.859969,0,-0.797551,0.603251,-3.61999e-06,0,0,0,0,1|-0.951316,0.145683,-0.271616,0,-0.0147276,-0.901724,-0.432062,0,-0.307866,-0.407027,0.859969,0,0,0,0,1|0.948439,-0.202905,0.243502,0,0.0753798,0.890594,0.448508,0,-0.307866,-0.407027,0.859969,0,-0.0769665,-0.101757,0.214992,1|0.479356,0.362045,-0.799463,0,0.874377,-0.275259,0.399621,0,-0.0753786,-0.890593,-0.448511,0,-0.0769665,-0.101757,0.214992,1|0.479356,0.362045,-0.799463,0,0.874377,-0.275259,0.399621,0,-0.0753786,-0.890593,-0.448511,0,-0.0958112,-0.324405,0.102865,1||
-0.614632,0.788814,0,0,-0.788814,-0.614632,0,0,0,0,1,0,0,0,0,1|0.528566,-0.678355,0.510346,0,0.313672,-0.40257,-0.859969,0,0.788814,0.614632,-3.61999e-06,0,0,0,0,1|0.386503,0.881386,-0.271616,0,-0.867308,0.247181,-0.432062,0,-0.313675,0.402568,0.859969,0,0,0,0,1|-0.441039,-0.863824,0.243502,0,0.840888,-0.302899,0.448508,0,-0.313675,0.402567,0.859969,0,-0.0784188,0.100642,0.214992,1|0.225916,-0.556615,-0.799463,0,-0.491804,-0.773584,0.399621,0,-0.840887,0.302898,-0.448511,0,-0.0784188,0.100642,0.214992,1|0.225916,-0.556615,-0.799463,0,-0.491804,-0.773584,0.399621,0,-0.840887,0.302898,-0.448511,0,-0.28864,0.176366,0.102865,1||
0.451819,-0.89211,0,0,0.89211,0.451819,0,0,0,0,1,0,0,0,0,1|-0.388552,0.767186,0.510346,0,-0.230581,0.455286,-0.859969,0,-0.89211,-0.451819,-3.61999e-06,0,0,0,0,1|-0.548472,-0.790825,-0.271616,0,0.803747,-0.409039,-0.432062,0,0.230584,-0.455284,0.859969,0,0,0,0,1|0.598624,0.763123,0.243502,0,-0.767125,0.45865,0.448508,0,0.230584,-0.455284,0.859969,0,0.057646,-0.113821,0.214992,1|-0.114892,0.589626,-0.799463,0,0.631126,0.664817,0.399621,0,0.767124,-0.458649,-0.448511,0,0.057646,-0.113821,0.214992,1|-0.114892,0.589626,-0.799463,0,0.631126,0.664817,0.399621,0,0.767124,-0.458649,-0.448511,0,0.249427,-0.228483,0.102865,1||
0.991433,0.130614,0,0,-0.130614,0.991433,0,0,0,0,1,0,0,0,0,1|-0.852602,-0.112326,0.510346,0,-0.505974,-0.066655,-0.859969,0,0.130614,-0.991433,-3.61999e-06,0,0,0,0,1|0.56435,-0.779573,-0.271616,0,0.652303,0.622754,-0.432062,0,0.505974,0.0666586,0.859969,0,0,0,0,1|-0.521592,0.817709,0.243502,0,-0.686973,-0.571759,0.448508,0,0.505974,0.0666586,0.859969,0,0.126493,0.0166647,0.214992,1|-0.594379,0.0870189,-0.799463,0,-0.418071,0.815794,0.399621,0,0.686971,0.571759,-0.448511,0,0.126493,0.0166647,0.214992,1|-0.594379,0.0870189,-0.799463,0,-0.418071,0.815794,0.399621,0,0.686971,0.571759,-0.448511,0,0.298236,0.159604,0.102865,1||
0.81506,-0.579377,0,0,0.579377,0.81506,0,0,0,0,1,0,0,0,0,1|-0.700927,0.498245,0.510346,0,-0.41596,0.295685,-0.859969,0,-0.579377,-0.81506,-3.61999e-06,0,0,0,0,1|-0.117458,-0.955211,-0.271616,0,0.901764,0.0119722,-0.432062,0,0.415962,-0.295682,0.859969,0,0,0,0,1|0.17474,0.95403,0.243502,0,-0.892435,0.0489828,0.448508,0,0.415962,-0.295682,0.859969,0,0.103991,-0.0739205,0.214992,1|-0.376076,0.468429,-0.799463,0,0.249255,0.882142,0.399621,0,0.892434,-0.0489818,-0.448511,0,0.103991,-0.0739205,0.214992,1|-0.376076,0.468429,-0.799463,0,0.249255,0.882142,0.399621,0,0.892434,-0.0489818,-0.448511,0,0.327099,-0.086166,0.102865,1||
-0.682937,0.730477,0,0,-0.730477,-0.682937,0,0,0,0,1,0,0,0,0,1|0.587306,-0.628187,0.510346,0,0.348532,-0.372798,-0.859969,0,0.730477,0.682937,-3.61999e-06,0,0,0,0,1|0.305851,0.912513,-0.271616,0,-0.88599,0.168355,-0.432062,0,-0.348534,0.372795,0.859969,0,0,0,0,1|-0.361744,-0.899916,0.243502,0,0.864676,-0.226219,0.448508,0,-0.348534,0.372795,0.859969,0,-0.0871336,0.0931989,0.214992,1|0.274953,-0.534097,-0.799463,0,-0.420401,-0.814595,0.399621,0,-0.864675,0.226218,-0.448511,0,-0.0871336,0.0931989,0.214992,1|0.274953,-0.534097,-0.799463,0,-0.420401,-0.814595,0.399621,0,-0.864675,0.226218,-0.448511,0,-0.303302,0.149753,0.102865,1||
0.288635,-0.957439,0,0,0.957439,0.288635,0,0,0,0,1,0,0,0,0,1|-0.248219,0.823368,0.510346,0,-0.1473,0.488626,-0.859969,0,-0.957439,-0.288635,-3.61999e-06,0,0,0,0,1|-0.678468,-0.682573,-0.271616,0,0.71971,-0.543452,-0.432062,0,0.147304,-0.488625,0.859969,0,0,0,0,1|0.722995,0.646517,0.243502,0,-0.674966,0.585885,0.448508,0,0.147304,-0.488625,0.859969,0,0.036826,-0.122156,0.214992,1|-0.00987676,0.600634,-0.799463,0,0.737783,0.54404,0.399621,0,0.674966,-0.585883,-0.448511,0,0.036826,-0.122156,0.214992,1|-0.00987676,0.600634,-0.799463,0,0.737783,0.54404,0.399621,0,0.674966,-0.585883,-0.448511,0,0.205567,-0.268627,0.102865,1||
-0.00871873,0.999962,0,0,-0.999962,-0.00871873,0,0,0,0,1,0,0,0,0,1|0.00749969,-0.859937,0.510346,0,0.00444646,-0.510326,-0.859969,0,0.999962,0.00871873,-3.61999e-06,0,0,0,0,1|0.842584,0.465057,-0.271616,0,-0.538547,0.723387,-0.432062,0,-0.00445007,0.510326,0.859969,0,0,0,0,1|-0.87522,-0.417966,0.243502,0,0.483704,-0.751579,0.448508,0,-0.00445007,0.510326,0.859969,0,-0.00111252,0.127582,0.214992,1|-0.158862,-0.579329,-0.799463,0,-0.860693,-0.315452,0.399621,0,-0.483704,0.751577,-0.448511,0,-0.00111252,0.127582,0.214992,1|-0.158862,-0.579329,-0.799463,0,-0.860693,-0.315452,0.399621,0,-0.483704,0.751577,-0.448511,0,-0.122038,0.315476,0.102865,1||
0.35444,-0.935079,0,0,0.935079,0.35444,0,0,0,0,1,0,0,0,0,1|-0.304809,0.804139,0.510346,0,-0.180884,0.477215,-0.859969,0,-0.935079,-0.35444,-3.61999e-06,0,0,0,0,1|-0.629419,-0.72805,-0.271616,0,0.755719,-0.492149,-0.432062,0,0.180887,-0.477213,0.859969,0,0,0,0,1|0.676343,0.695174,0.243502,0,-0.714031,0.537588,0.448508,0,0.180887,-0.477213,0.859969,0,0.0452218,-0.119303,0.214992,1|-0.0515718,0.598498,-0.799463,0,0.698213,0.593971,0.399621,0,0.71403,-0.537586,-0.448511,0,0.0452218,-0.119303,0.214992,1|-0.0515718,0.598498,-0.799463,0,0.698213,0.593971,0.399621,0,0.71403,-0.537586,-0.448511,0,0.223729,-0.2537,0.102865,1||
